Fecha,Ingreso_Total,Gastos_Operativos,Ingreso_Operativo,Gastos_Financieros,Impuestos,Ingreso_Neto,Dividendos,Activos,Pasivos,Patrimonio_Neto,Flujo_Efectivo,Ratio_deuda_patrimonio,ROA,Margen_Utilidad
2015-01-19,5864733.66,746427.37,4887505.17,1146084.21,1154804.84,4141077.79,2819343.38,301002537.8,31763200.55,74686565.61,7161435.12,0.43,0.01,0.71
2015-01-20,4989918.8,2008387.59,,1050212.3440771175,782417.56,1612674.67,2745538.23,378792729.6,167434968.8,75916094.42,1994147.64,2.21,,0.32
2015-01-21,7346951.64,4112840.52,6506676.05,293569.65,1483137.32,2393835.53,2843619.29,259342525.5,80809475.86,56344001.49,2631382.22,1.43,0.01,0.33
2015-01-22,5126910.61,520844.1,2255444.75,1831128.95,724652.42,1734600.64,809675.23,77064054.17,28873796.6,24522652.09,2667263.94,1.18,0.02,0.34
2015-01-23,10740989.96,2000746.27,3629301.84,1658964.26,134444.85,1628555.56,481539.39,303033567.2,307361173.3,,3327904.48,17.54,0.01,0.15
2015-01-24,12738840.9,2291759.12,4297256.59,1544066.31,430297.77,2005497.47,976602.43,480931378.0,194238743.4,11721606.98,3449905.03,16.57,0.0,0.16
2015-01-25,10750197.7,,5104629.86,192656.01,682302.2,2186349.64,2695747.0,128886324.1,129913013.4,24917335.93,4584164.93,5.21,0.02,0.2
2015-01-26,12716555.81,4639350.27,8066583.65,1050212.3440771175,277508.81,3427233.38,2918955.08,360502200.9,209501197.07378653,90176998.15,1699098.23,4.01,0.01,0.27
2015-01-27,7160898.11,2058556.97,2797064.04,1050212.3440771175,1423969.43,738507.06,2592042.36,140420159.9,64132804.88,31738315.75,5684349.98,2.02,0.01,0.1
2015-01-28,4032120.62,2061289.41,5628109.95,750550.73,1161930.9,3566820.54,419051.39,291122458.0,383249155.0,41884419.45,1756749.04,9.15,0.01,0.88
2015-01-29,11593362.32,3818755.62,6331731.12,1138305.09,439016.44,2512975.5,2847541.19,93504402.34,139307352.6,19481093.6,2827313.62,7.15,0.03,0.22
2015-01-30,6686168.57,2534980.73,1418053.71,273571.16,906666.57,2754910.734271937,1327738.28,252666921.3,357593395.5,30012517.43,4275088.48,11.91,0.0,-0.17
2015-01-31,10726520.73,1510721.7,6467903.67,1537628.44,1096101.28,2754910.734271937,126999.84,390273498.0,249118293.1,56730211.37,6473304.21,,,0.46
2015-02-01,,2535977.82,2534717.11,1206626.65,1414854.45,-1260.71,1382941.85,206407185.9,334148796.7,64697741.48,6046019.25,5.16,0.0,0.0
2015-02-02,3055985.25,1133856.59,1585464.34,454521.18,1328371.26,451607.75,233600.59,349210276.0,393925002.0,32081708.27,5341507.67,12.28,0.0,0.15
2015-02-03,14903563.34,1293741.44,9539969.84,457641.18,797028.73,8246228.4,1677245.97,407952482.4,129594066.4,15195894.33,1668299.45,,0.02,0.55
2015-02-04,4030619.6,2742654.98,9690688.3,1050212.3440771175,,6948033.32,1081806.68,467230018.8,385231484.5,45192958.22,4602840.09,8.52,0.01,1.72
2015-02-05,14849472.92,2385164.52,,1050212.3440771175,865109.89,5890411.61,1472961.31,155588936.8,168003120.1,31078303.38,1155848.76,5.41,,0.4
2015-02-06,14704639.12,4616806.55,3741523.92,1216817.05,851420.64,2754910.734271937,1878194.05,229692162.1,166494523.8,29759853.09,3330223.83,5.59,0.0,-0.06
2015-02-07,12319635.35,2130772.55,1879049.03,1696661.54,216375.84,-251723.52,2619523.18,118587206.0,149347099.6,96387652.24,3601373.98,1.55,0.0,-0.02
2015-02-08,10572498.51,3112647.58,7158097.24,133246.61,232899.6,4045449.66,2019514.57,496617576.0,225734890.8,65467043.73,798585.8,,0.01,0.38
2015-02-09,,3345189.3,4961372.44,193108.83,817823.74,1616183.15,1358741.72,467150435.6,78575116.41,60119059.89,2554910.75,1.31,,
2015-02-10,13259320.09,558925.05,2098344.11,1188263.53,439849.24,1539419.06,2476340.78,292980708.6,230410364.4,47419759.32,7667371.0,,0.01,
2015-02-11,5762713.78,,5456592.19,1657041.8,80503.51,1970674.02,2726188.2,428914982.5,225847828.7,48604990.01,7652244.56,4.65,0.0,0.34
2015-02-12,8079855.76,1301161.85,1309496.69,720803.89,1098116.85,8334.84,447303.9,284431089.8,309522688.8,58681450.35,3142452.91,,0.0,0.0
2015-02-13,10052069.6,,9183883.62,764267.36,97105.57,4359067.19,1642605.63,330613559.6,336786985.5,72678682.63,823250.82,4.63,0.01,0.43
2015-02-14,,1168982.27,3329019.83,1233058.35,913151.42,2160037.56,925084.68,90105994.45,187367713.1,73193148.66,1843212.04,2.56,0.02,0.29
2015-02-15,7557323.9,2365808.56,6962700.56,621004.49,831831.0,4596892.0,236477.47,389871689.2,134886634.8,25452451.69,3441633.45,5.3,0.01,0.61
2015-02-16,6293700.68,,3805399.68,150555.9,1454781.3,2921326.18,2038785.42,107471067.6,209501197.07378653,55010147.69,7608347.73,,0.03,0.46
2015-02-17,9335013.62,4985934.13,5680612.19,1496934.18,752109.05,694678.06,2602035.25,421730433.6,93957057.95,47076228.55,1558992.98,2.0,0.0,0.07
2015-02-18,13057468.86,2759877.55,5920392.51,1288734.83,142222.08,3160514.97,572417.7,401912639.5,41906081.24,88347426.96,6226368.83,0.47,0.01,0.24
2015-02-19,4619868.91,3179232.58,,1203436.4,849947.55,-515542.48,2455999.61,368935114.0,150130232.0,66827702.91,,2.25,0.0,-0.11
2015-02-20,14147629.5,801844.15,9726261.65,1509199.85,1269589.45,8924417.5,2574847.63,66272171.24,122694123.0,57925365.98,7859431.83,2.12,0.13,0.63
2015-02-21,10958139.5,3874822.12,7976195.41,1382938.59,1495431.46,4101373.29,2751587.28,186407760.2,387238606.6,20385517.8,3362123.74,19.0,0.02,0.37
2015-02-22,12702551.76,1444575.17,9455490.47,491175.78,673997.6,8010915.31,869326.76,168400656.5,231929354.0,64507410.04,6314259.04,3.6,0.05,0.63
2015-02-23,9230479.0,4541244.3,9053446.15,769713.99,514433.18,4512201.85,2721463.89,212061383.4,151965274.8,20548351.51,3069433.12,7.4,0.02,0.49
2015-02-24,12133717.12,1423128.38,6381099.81,339609.27,1364647.28,4957971.43,1029921.99,89439236.04,240577688.4,40348591.8,5207516.58,5.96,0.06,0.41
2015-02-25,2210605.17,1358094.74,9296868.12,346728.33,327301.09,7938773.37,1701780.24,471631020.4,72894746.51,22855776.83,1940120.64,3.19,0.02,3.59
2015-02-26,12638945.52,664473.51,,1384771.92,942371.93,1131959.01,246471.67,299211008.3,188736624.7,72286628.23,1595157.64,2.61,0.0,0.09
2015-02-27,2521805.17,2624301.25,2763845.76,1731340.2,638285.92,139544.51,227255.16,187485939.8,257969042.1,28562690.25,7535481.05,9.03,0.0,0.06
2015-02-28,13568873.89,3041785.1,1407045.6,1929191.91,109569.43,-1634739.5,2189082.32,228641682.7,205781176.1,45267343.59,7382354.58,,-0.01,-0.12
2015-03-01,14895515.71,795688.88,3927972.98,1293859.52,553568.29,3132284.1,1388991.94,251241143.2,172675944.3,90610729.99,7156017.05,1.91,0.01,0.21
2015-03-02,5822877.01,3989874.28,4498095.61,449792.51,434581.36,508221.33,843247.89,320267450.0,209501197.07378653,28388474.51,5190750.88,14.01,,0.09
2015-03-03,4734141.23,2539799.76,3442141.29,300735.66,1044832.17,902341.53,652199.14,282055742.5,354519609.6,55702455.76,6562011.58,6.36,0.0,0.19
2015-03-04,11949723.73,2859756.21,8458637.58,1644416.85,1425746.22,5598881.37,,463726388.0,256894264.1,47734449.5,1017777.03,5.38,0.01,0.47
2015-03-05,5289342.43,2483432.36,4210779.94,1199637.31,438668.42,1727347.58,101164.48,273633567.3,236363397.3,11631163.69,3010917.81,20.32,0.01,
2015-03-06,13252310.98,2303433.77,3528410.59,1274741.54,1226625.61,1224976.81,2437084.39,496471106.7,255850982.3,,2852773.44,3.15,0.0,0.09
2015-03-07,3336953.7,3018381.49,5884264.75,1584777.97,130271.73,2865883.26,329823.86,433141231.0,96498600.97,16214131.57,5267339.91,5.95,0.01,0.86
2015-03-08,3637417.55,1198581.11,2268318.02,1436226.73,,1069736.92,655319.88,143829731.5,170152342.4,52682951.89,3169683.3,3.23,0.01,0.29
2015-03-09,14728970.22,1318676.59,8219772.83,1685470.68,152297.59,6901096.24,1220085.55,468767846.6,34994622.5,60461046.54,1613800.86,0.58,0.01,0.47
2015-03-10,10759905.68,4378035.29,1670955.79,206806.42,,-2707079.5,1506090.35,102364879.1,200707494.2,66558381.1,4973503.07,3.02,-0.03,-0.25
2015-03-11,13009533.92,4757519.58,9881982.43,1520289.21,1161209.36,5124462.85,1129485.84,417852368.8,226349341.9,71976846.64,6607879.41,3.14,,0.39
2015-03-12,6216281.91,2179891.92,7950202.92,1716620.24,1004027.37,5770311.0,1030065.28,221280482.1,106544899.7,32794514.52,3365926.21,3.25,0.03,0.93
2015-03-13,10794288.74,1718351.03,2788441.13,643656.58,1244649.75,1070090.1,2895356.44,445088444.2,386330961.9,10898089.9,1492015.36,35.45,0.0,0.1
2015-03-14,9725143.76,3397997.94,1049699.05,1316849.82,988903.7,-2348298.89,1960581.08,440625510.6,365592752.2,75109929.61,1975161.48,4.87,-0.01,-0.24
2015-03-15,9840951.56,2339303.77,8339152.86,696907.92,1454969.38,5999849.09,167955.57,412666430.1,294414429.5,58209093.94,2281124.79,5.06,0.01,0.61
2015-03-16,10872921.97,614238.6,7361716.09,1920145.03,1085239.02,6747477.49,1347510.13,405513696.3,222686918.9,85250593.29,2749231.95,,0.02,0.62
2015-03-17,9479669.25,1202686.69,7561064.51,163504.79,1390754.98,6358377.82,2637525.23,187105612.6,350588280.7,83924952.66,5320963.03,4.18,0.03,0.67
2015-03-18,7577810.8,3721875.03,7941433.12,1201606.4,799841.24,2754910.734271937,974222.94,86413677.37,69647890.65,85899355.1,5007091.13,0.81,0.05,0.56
2015-03-19,5586995.03,3465157.74,1666401.87,416356.74,219743.4,2754910.734271937,374213.4,231341080.4,320393721.8,53658519.4,5720598.96,5.97,-0.01,-0.32
2015-03-20,11991557.3,621931.97,,1453218.39,815857.7,3604259.59,2299315.84,128086031.7,67431909.31,40026555.63,3218764.88,1.68,0.03,
2015-03-21,4941541.59,1498874.73,2042821.54,434191.54,233965.6,543946.81,1857440.11,362727990.0,321800051.8,81240238.23,6679982.39,3.96,0.0,0.11
2015-03-22,11000605.98,1539836.58,8767930.83,547228.2,,7228094.25,1753906.27,205744876.9,124791675.9,50616470.17,2030657.46,2.47,0.04,0.66
2015-03-23,5033326.69,3523517.35,6609683.14,1039304.54,,3086165.8,255372.02,489024590.4,353294420.8,26509797.68,4017805.61,13.33,0.01,0.61
2015-03-24,10129292.21,588697.42,,1838186.4,952734.33,3389384.8,507447.13,338437434.8,209501197.07378653,86947661.76,6507040.41,4.36,0.01,0.33
2015-03-25,11712017.47,968488.62,1572025.15,502257.31,64568.12,603536.53,1905393.25,420116253.6,76542468.37,89430388.91,1851189.86,0.86,0.0,0.05
2015-03-26,,4099622.38,3798840.9,374056.04,332518.71,-300781.49,702689.14,109636102.7,195816729.9,51967878.05,1323973.35,3.77,0.0,-0.06
2015-03-27,2779262.91,,,1542055.98,762429.13,2623198.92,1561803.23,437906517.0,392775203.7,,7127629.76,23.36,0.01,0.94
2015-03-28,3702658.66,3437357.49,7566455.61,1051177.11,1428230.16,4129098.12,1680156.89,465240735.7,209501197.07378653,44904348.09,3071972.47,4.54,0.01,1.12
2015-03-29,9877960.57,1571822.51,6738017.24,1050212.3440771175,,5166194.73,922170.85,269177863.5,348148058.6,82318389.35,5629025.94,4.23,0.02,0.52
2015-03-30,13042803.28,947486.27,8984914.68,378567.66,665339.44,8037428.42,2850432.95,322813822.0,243717978.4,91159662.57,690114.53,2.67,0.02,0.62
2015-03-31,2584958.68,1594274.86,5249934.33,1327263.0,1086309.33,3655659.47,2543145.91,394164410.4,162625365.0,28312546.82,5675351.66,5.74,0.01,1.41
2015-04-01,11543966.37,3750201.19,2076348.21,542470.38,925499.5,-1673852.98,2194883.17,128677382.3,128597751.1,16027625.08,2870759.84,8.02,-0.01,-0.14
2015-04-02,6437142.4,4350634.11,7419203.09,397844.81,483442.92,3068568.98,326182.21,276154734.4,97224774.61,88961540.78,918056.4,1.09,0.01,0.48
2015-04-03,8220868.81,4235989.39,7847065.44,1398515.89,645683.77,3611076.05,407777.06,229398362.5,309483312.7,45046444.51,5073595.71,6.87,0.02,0.44
2015-04-04,14075174.15,,,1228000.78,365664.71,3764168.89,,115868296.5,166885392.6,58758486.78,2306028.62,2.84,0.03,0.27
2015-04-05,6315629.56,3506383.11,7938704.62,1534172.17,1450731.12,4432321.51,566068.71,215390490.0,214284675.6,97125923.08,3401054.32,,0.02,0.7
2015-04-06,8049380.14,1422429.33,,687978.9,239419.85,4021731.04,2936969.84,80677539.22,207083682.4,15990825.51,1104356.09,12.95,0.05,0.5
2015-04-07,,1819164.79,5704595.46,951146.15,589163.34,3885430.68,559708.68,61615358.13,239366031.1,68348620.67,1603724.38,3.5,0.06,1.78
2015-04-08,3060783.36,4533511.18,4847869.17,870396.19,87466.51,2754910.734271937,1513656.72,110824830.1,348919315.3,16669488.03,2734829.27,20.93,0.0,0.1
2015-04-09,5361690.68,558508.66,1228772.14,1969769.98,371580.26,670263.48,1155951.06,483401800.2,392680950.6,43792203.56,1173196.25,8.97,0.0,0.13
2015-04-10,2362079.13,884788.39,1971022.84,655273.02,1181683.15,1086234.45,1954220.62,297288291.2,174881999.3,82343309.07,7331196.99,2.12,0.0,0.46
2015-04-11,10207879.24,1435488.15,1282862.67,1050212.3440771175,341704.09,-152625.48,474205.59,484619972.5,334457190.4,49012500.95,545352.82,6.82,0.0,-0.01
2015-04-12,7543178.64,619394.92,6727693.7,773641.6,166091.93,6108298.78,1347917.64,277716767.9475541,310520562.0,99746411.85,,3.11,0.02,0.81
2015-04-13,9125887.64,1316459.46,3829203.83,1172728.75,737957.11,2512744.37,896644.6,190317259.9,237941001.6,60315335.65,1424355.94,3.94,0.01,0.28
2015-04-14,4270413.42,3123687.02,,579413.21,64455.39,2453449.2,2674479.42,277763838.3,383297914.6,38904593.74,2807593.17,9.85,0.01,0.57
2015-04-15,5847116.38,2396410.48,,1839050.89,172910.92,2754910.734271937,217698.57,247780259.9,96180315.9,29810019.33,7445446.7,3.23,0.03,1.16
2015-04-16,10629718.17,4517022.7,3243630.06,1050212.3440771175,1221057.51,-1273392.64,2749809.73,97549107.92,61520399.92,41546848.09,1712709.15,1.48,-0.01,-0.12
2015-04-17,14548935.41,4178496.03,4693446.31,1802049.89,1168636.35,514950.28,,338371841.6,344505547.4,43527994.64,7743742.4,7.91,0.0,0.04
2015-04-18,2655418.06,2038178.08,7799960.25,296602.62,,5761782.16,962955.08,147217182.1,186876930.3,16184231.0,2043457.83,11.55,0.04,2.17
2015-04-19,13574996.17,1667405.45,3059183.49,1347469.13,1289047.38,1391778.04,2388942.9,328814579.7,341848164.6,43261677.95,6061745.81,7.9,0.0,0.1
2015-04-20,9499455.62,2208615.84,1692819.19,1823272.49,1040604.57,-515796.65,190519.32,342590491.6,359374278.0,51781466.78,4600079.49,6.94,0.0,-0.05
2015-04-21,9330954.37,3156327.24,3607763.08,1050212.3440771175,125882.64,451435.83,2903910.1,118411183.9,43733885.58,,7133590.46,0.58,0.0,0.05
2015-04-22,8503620.96,1706286.38,2450991.59,1939821.22,1185130.5,744705.2,1627125.33,77607332.2,355716609.9,69105653.62,4654949.42,5.15,0.01,0.09
2015-04-23,2902123.12,3308670.09,9367278.87,960478.38,1275990.68,6058608.79,979514.98,401342713.7,190361241.0,73788908.97,4509194.14,2.58,0.02,2.09
2015-04-24,3168399.07,2342352.43,8273083.42,1896858.71,1208669.11,5930730.98,1151491.32,256910190.7,213964345.8,10752731.37,1965935.0,,0.02,1.87
2015-04-25,9811856.07,2984212.31,6700633.81,1385958.08,,3716421.49,292575.53,76173707.98,258105154.2,29590065.96,1746720.22,,0.05,0.38
2015-04-26,,2462569.38,8843145.31,673015.05,387707.67,6380575.93,,497689842.7,372025390.6,69551585.96,7373668.63,5.35,0.01,0.99
2015-04-27,13924484.87,1825095.92,8233048.69,457774.8,1275728.46,6407952.77,213946.64,76001252.45,27264115.88,53559043.14,2958786.49,0.51,0.08,0.46
2015-04-28,7285676.99,4768039.88,2679130.53,677096.59,1104386.07,-2088909.35,1999230.66,362765853.0,201200518.0,10478212.81,3290616.91,19.2,-0.01,-0.29
2015-04-29,3862658.96,3936226.07,9033030.99,276733.08,1472103.7,5096804.91,1383934.19,492655516.4,281334376.1,82404517.82,6198677.44,3.41,0.01,1.32
2015-04-30,11291344.84,1130509.29,5854080.18,373349.14,275754.27,4723570.89,2851857.03,157631046.9,294628643.9,79552861.6,3041176.12,3.7,0.03,0.42
2015-05-01,5813594.48,4408105.89,,298854.84,377213.65,2754910.734271937,813399.25,114012215.9,283162324.0,59357724.67,7640468.35,4.77,0.03,
2015-05-02,,2693440.39,9064821.7,1050212.3440771175,357107.32,6371381.31,1643051.79,104623222.7,71085349.18,15981699.32,6034458.27,4.45,0.06,0.72
2015-05-03,11071826.21,4525485.02,3862031.27,1611598.91,1199182.66,2754910.734271937,,186473816.4,133770323.6,78986354.46,4980719.32,1.69,0.0,-0.06
2015-05-04,13703433.45,4099348.65,1990467.32,368628.75,321015.58,-2108881.33,2138312.69,95470614.95,156311899.7,62534222.9,7106713.7,2.5,-0.02,-0.15
2015-05-05,12298485.53,2413460.77,3051416.46,347608.82,146656.75,637955.69,297229.67,361472603.8,325686138.9,80376397.94,872044.31,4.05,0.0,0.05
2015-05-06,10792693.88,601111.89,4843970.1,1050212.3440771175,1497913.17,4242858.21,661988.48,78031309.16,125928751.5,77657229.32,2427970.19,,0.05,0.39
2015-05-07,10835231.37,1709048.12,8362132.89,474647.67,85984.96,6653084.78,722237.98,279239957.7,100067886.3,82270186.48,3987772.51,1.22,0.02,0.61
2015-05-08,14297020.37,2937353.97,8746575.25,285459.07,1261103.89,5809221.28,2240637.19,498513584.2,383830247.2,56620725.98,2202339.05,6.78,0.01,0.41
2015-05-09,5845713.27,3350651.99,1062569.17,417012.3,579781.92,-2288082.81,648502.22,277716767.9475541,23368048.34,22629206.64,6079288.9,1.03,-0.01,-0.39
2015-05-10,,1660494.58,5596725.72,1855089.65,,3936231.14,1763126.12,326848747.2,399171925.2,70404172.6,7394060.23,5.67,0.01,1.95
2015-05-11,5535409.27,1127102.33,4756699.03,1660795.38,854199.71,3629596.7,724207.08,187814129.4,277192093.6,65842640.65,3678275.9,4.21,0.02,0.66
2015-05-12,4832587.94,4257186.07,2998970.29,772722.67,1357365.28,-1258215.77,2598712.36,330753126.3,334818333.8,76802786.85,3065994.5,4.36,0.0,-0.26
2015-05-13,10603849.61,4929809.81,2078788.31,1346059.46,1392979.83,-2851021.51,2832337.82,287168658.8,131955370.6,25289290.54,7711630.49,5.22,-0.01,-0.27
2015-05-14,10238250.8,2865605.82,4038536.54,1120823.78,63192.36,1172930.72,1603629.63,241737522.8,25439805.51,27547767.99,3836393.25,0.92,0.0,
2015-05-15,9714997.98,1272556.79,9486187.34,1386536.1,159347.66,8213630.55,1121695.76,108819669.5,300390417.1,90136856.55,4167863.0,3.33,0.08,0.85
2015-05-16,2211164.76,1725382.97,3908826.39,1397075.19,413020.16,2183443.42,778767.55,448971896.9,336974946.9,77498001.86,3137374.04,4.35,0.0,0.99
2015-05-17,11474114.71,582758.04,,1294594.63,,2754910.734271937,244364.9,252403092.0,301380930.1,,7321613.55,3.29,0.02,0.44
2015-05-18,6205895.36,4614344.63,7327170.63,605592.6,,2712826.0,878650.22,137580130.3,74283109.17,78284378.9,4767166.12,0.95,0.02,0.44
2015-05-19,10645727.86,1029879.87,4272666.42,174112.2,716915.83,3242786.55,1997283.76,215491707.9,306302610.5,63743977.54,6216309.4,4.81,0.02,0.3
2015-05-20,9235519.57,,9746038.74,965576.89,930111.02,2754910.734271937,1647489.1,236358388.6,312190657.2,68871946.33,6588550.39,4.53,0.03,0.72
2015-05-21,6455502.03,1733248.49,9662025.65,1792850.38,,7928777.16,2837719.71,422392053.0,270245396.0,90021513.15,3063867.81,3.0,0.02,1.23
2015-05-22,3749491.47,,3266040.66,1182044.79,1217201.91,272239.65,1249204.06,380126471.3,311124054.5,62092607.91,3752707.48,5.01,0.0,0.07
2015-05-23,3227445.67,3431391.75,5475236.55,1681542.98,1452625.76,2043844.81,2112203.69,396187202.1,341450147.1,66915219.19,6863538.31,5.1,0.01,0.63
2015-05-24,12809738.33,4233838.12,3707904.79,1984086.25,,-525933.33,1519035.97,277716767.9475541,253169563.4,24082904.44,3224415.14,10.51,-0.01,-0.04
2015-05-25,13939168.05,1428895.72,3563564.45,410870.79,767497.63,2134668.73,1586471.03,237269299.2,53669791.31,52652909.81,6454513.5,1.02,0.01,
2015-05-26,10447244.61,,1331982.53,1414377.51,174868.36,782501.3,876545.51,266604868.2,205298567.7,74475740.08,7557442.42,2.76,0.0,0.07
2015-05-27,3344643.49,1115985.34,6486079.01,1381157.79,860748.15,5370093.67,1419357.25,58636524.57,49506747.18,34384842.85,5174077.8,1.44,0.09,
2015-05-28,7226353.82,4550083.89,5524111.21,1961915.35,779035.99,974027.32,1465276.49,166915943.9,174866351.8,28202876.25,6062204.66,6.2,0.01,0.13
2015-05-29,11476209.6,4432505.35,1463308.76,1972641.39,259432.9,-2969196.59,2149263.31,392130420.4,174700465.9,38244412.74,6538229.84,4.57,-0.01,
2015-05-30,12137671.49,3188358.96,3507818.18,1404689.36,690996.01,319459.22,2827856.0,111699367.6,45083740.77,31735056.52,6837797.37,1.42,0.0,0.03
2015-05-31,3536842.09,,9174392.97,562868.1,,5972067.1,1055031.7,290889559.2,209501197.07378653,29342137.33,3462900.03,5.2,0.02,1.69
2015-06-01,2000399.34,3492665.04,3156057.02,1617256.09,806654.77,-336608.02,222381.36,146840842.4,62179277.54,48236575.86,884475.94,1.29,0.0,
2015-06-02,11257781.6,1289170.75,2304053.85,303355.36,899198.79,1014883.1,1539255.86,55454348.59,327129379.8,91705466.25,3514072.03,3.57,0.02,0.09
2015-06-03,6635750.29,4614853.76,5405074.84,1583328.68,62318.59,790221.09,1678937.86,158540655.9,380121449.9,55635368.21,5553171.72,6.83,0.0,0.12
2015-06-04,5308257.31,2384467.36,9870854.09,1829372.64,1153458.68,2754910.734271937,588477.6,489143189.7,47480260.6,,3877627.89,1.76,0.02,1.41
2015-06-05,2167667.11,2224123.38,,827383.45,1083870.72,954374.07,2305347.36,410691700.4,382943778.8,16927450.24,6117223.63,22.62,0.0,0.44
2015-06-06,9023892.29,2835129.67,7049219.93,1298207.06,581115.26,4214090.25,2956294.41,481809489.9,218579107.8,72654053.06,3177368.22,3.01,0.01,0.47
2015-06-07,13064959.56,711346.85,7854576.54,917271.19,126757.11,7143229.69,2842746.68,269534319.8,133834957.6,44451888.8,5260581.06,3.01,0.03,0.55
2015-06-08,14449211.4,1248275.16,,931753.6,1144652.18,2754910.734271937,671607.51,277716767.9475541,209501197.07378653,83964785.19,1898148.54,0.59,0.02,0.13
2015-06-09,9354684.36,3821151.27,7553947.14,689704.69,1435003.98,3732795.86,2638553.4,296581770.0,210237221.9,69355969.18,6120270.77,3.03,0.01,0.4
2015-06-10,8687997.26,872594.01,4310048.19,1548046.28,398219.81,3437454.19,2143031.55,254469800.6,321915906.9,81661730.55,4592719.77,3.94,0.01,0.4
2015-06-11,,3214184.49,6690752.48,1878735.47,519110.69,3476567.98,1416155.04,429960687.2,288692861.4,34475143.55,2030482.91,8.37,0.01,1.12
2015-06-12,9135346.42,1604070.99,6701767.4,1887426.63,316528.69,5097696.4,1667771.88,277716767.9475541,39085884.36,72312303.02,2689333.8,0.54,0.05,0.56
2015-06-13,6939728.03,2251830.26,5821972.16,432084.44,886557.38,3570141.89,2563840.51,269708511.7,47702697.44,33765578.62,6114565.31,1.41,0.01,0.51
2015-06-14,9892758.65,1799121.82,1812607.93,1762012.93,274520.02,13486.12,1492391.32,117521899.1,173091847.4,94516163.15,4119509.27,1.83,0.0,0.0
2015-06-15,7053442.52,2100527.22,8517722.46,1501119.74,566481.22,6417195.24,,196104167.1,132210387.7,,2120235.8,1.97,0.03,0.91
2015-06-16,,3735706.57,3887020.58,1050212.3440771175,1060668.87,151314.01,1530417.73,381810684.8,108306042.8,39206062.02,7754533.93,2.76,0.0,0.03
2015-06-17,3234548.58,1837047.72,2678666.59,227840.76,862168.18,841618.87,,264208158.2,126781709.6,34256067.61,5863437.65,3.7,0.0,0.26
